dataset,crop,Australia,United States,us_minus_australia_predicted_yield_t_ha
aus_overlap,Barley,2.046325180723292,,
aus_overlap,Canola,1.2032763838209022,,
aus_overlap,Oats,1.521865781875359,,
aus_overlap,Wheat,2.137121243460162,,
aus_us_overlap,Barley,2.0623898276624284,3.1003887550649107,1.0379989274024823
aus_us_overlap,Canola,1.2314297276609665,1.7998209045084559,0.5683911768474894
aus_us_overlap,Oats,1.556398325634607,2.1195701646736675,0.5631718390390605
aus_us_overlap,Wheat,2.1747658173279416,2.7847207399272347,0.6099549225992931
us_overlap,Barley,,2.9971517546176045,
us_overlap,Canola,,1.6573111346596912,
us_overlap,Oats,,2.0887211663714527,
us_overlap,Wheat,,2.728756955537518,
