country,region,year_start,best_crop,best_predicted_yield_t_ha,runner_up_crop,runner_up_predicted_yield_t_ha,advantage_over_runner_up_t_ha,candidate_crops_in_region,weather_regime,advantage_bootstrap_mean_t_ha,advantage_ci95_low_t_ha,advantage_ci95_high_t_ha,advantage_ci95_t_ha
United States,Colorado,2013,Barley,7.130447047619039,Oats,2.3210297547619065,4.809417292857132,3,Cold/frost stress,4.617455069168429,3.8996931402558497,5.082839818488131,"[3.90, 5.08]"
Australia,Tasmania,2014,Wheat,5.256930084276657,Barley,3.190829958530187,2.06610012574647,4,Wet/storm risk,1.6734415531926554,0.6622577946217726,2.3378589205057807,"[0.66, 2.34]"
United States,Illinois,2013,Wheat,4.473867095238103,Oats,2.473407309523808,2.000459785714295,2,Wet/storm risk,1.7559021367790466,1.1108436378809539,2.0331214129932285,"[1.11, 2.03]"
United States,Iowa,2006,Wheat,4.159617452380959,Oats,2.7228746190476247,1.4367428333333345,2,Moderate season,1.2595804147140988,0.48114468522618786,1.8605745137142704,"[0.48, 1.86]"
United States,Washington,2003,Wheat,3.9583798333333275,Barley,2.5754892619047656,1.382890571428562,4,Dry-spell stress,1.0312010336711177,0.4630198391369046,1.4723452404762023,"[0.46, 1.47]"
United States,Kansas,1998,Wheat,3.126474916666669,Barley,1.9106749761904758,1.2157999404761934,4,Hot-dry stress,0.8049273167392358,0.22329150398809597,1.3859799483630977,"[0.22, 1.39]"
United States,Minnesota,1993,Barley,3.0669330476190493,Wheat,2.037403035714288,1.0295300119047615,4,Moderate season,0.6707871848389165,0.1627131687457463,1.0552215913690508,"[0.16, 1.06]"
United States,Montana,2004,Barley,3.1699472380952383,Wheat,2.305740696428571,0.8642065416666673,4,Cold/frost stress,0.6983517524109931,0.3929572940410316,0.9264375567916602,"[0.39, 0.93]"
United States,North Dakota,1996,Barley,2.9617156190476104,Wheat,2.12652826190476,0.8351873571428503,4,Cold/frost stress,0.713728896417987,0.4213717355357157,0.8727256323554363,"[0.42, 0.87]"
United States,Nebraska,2000,Wheat,2.3814730119047613,Oats,1.5772551428571433,0.804217869047618,3,Hot-dry stress,0.5936363059875193,-0.044259883872472004,0.9888151414406458,"[-0.04, 0.99]"
