country,region,crop,mean_predicted_yield_t_ha,median_predicted_yield_t_ha,years,best_rank_share,rank_within_region
Australia,New South Wales,Wheat,1.8756372852043348,2.0284650561694813,33,0.8181818181818182,1.0
Australia,New South Wales,Barley,1.7794871247147759,1.9049141215601293,33,0.18181818181818182,2.0
Australia,New South Wales,Oats,1.321374481759873,1.3802868225400775,33,0.0,3.0
Australia,New South Wales,Canola,1.114174506061489,1.2077128732068139,33,0.0,4.0
Australia,Queensland,Wheat,1.5669618727023813,1.5933421986035177,33,0.5454545454545454,1.0
Australia,Queensland,Barley,1.5498521225530604,1.5422334680118186,33,0.45454545454545453,2.0
Australia,Queensland,Canola,0.7361341832147911,0.7794803620046971,33,0.0,3.0
Australia,Queensland,Oats,0.6635078111534263,0.6410471612932434,33,0.0,4.0
Australia,South Australia,Barley,1.9166899440984908,2.0179893539346523,33,0.9393939393939394,1.0
Australia,South Australia,Wheat,1.764876522682162,1.8794786968570765,33,0.06060606060606061,2.0
Australia,South Australia,Oats,1.4410357565090153,1.4677295522847829,33,0.0,3.0
Australia,South Australia,Canola,1.298314918130159,1.3598141001317845,33,0.0,4.0
Australia,Tasmania,Wheat,3.906692455080595,3.8018195641670394,33,1.0,1.0
Australia,Tasmania,Barley,3.1223881515980603,3.0060386409411057,33,0.0,2.0
Australia,Tasmania,Oats,2.054009263988528,1.9628400471080696,33,0.0,3.0
Australia,Tasmania,Canola,1.6165979960780903,1.6124995614839948,33,0.0,4.0
Australia,Victoria,Wheat,1.983700086649358,2.0184989481517475,33,0.5151515151515151,1.0
Australia,Victoria,Barley,1.967672830370045,2.0084912370704977,33,0.3333333333333333,2.0
Australia,Victoria,Oats,1.7385800115376284,1.760098063352676,33,0.15151515151515152,3.0
Australia,Victoria,Canola,1.2554294706915472,1.3352588658059248,33,0.0,4.0
Australia,Western Australia,Barley,1.941860911005318,1.907628750585931,33,0.6363636363636364,1.0
Australia,Western Australia,Oats,1.9126873663036825,1.9460831027315628,33,0.36363636363636365,2.0
Australia,Western Australia,Wheat,1.7248592384421402,1.7416069985246543,33,0.0,3.0
Australia,Western Australia,Canola,1.1990072287493363,1.2099836775342714,33,0.0,4.0
